"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","stars"
"ASV1",5760.9595251341,2.24031512673753,0.44046323457231,5.08627043279306,3.65173255649735e-07,5.47759883474603e-07,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA,"***"
"ASV2",3577.68247981467,1.05087628115806,0.504134466817863,2.08451583917932,0.037113270992033,0.0387268914699474,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,"*"
"ASV5",205.108923039846,-2.20342960282672,0.754666496130327,-2.91973953279384,0.00350324052925324,0.0040037034620037,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,"**"
"ASV8",228.481452200523,-5.87266190445249,0.887278981005521,-6.61873213518166,3.62292647321756e-11,7.24585294643511e-11,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,"***"
"ASV9",880.790350908958,5.91514085982758,0.524644589124439,11.274567550004,1.75237548074599e-29,2.10285057689519e-28,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"***"
"ASV10",1226.63708912231,-5.26480945567495,0.534696010706237,-9.84636008172397,7.10713598411227e-23,4.26428159046736e-22,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,"***"
"ASV18",1387.21352316444,9.73996052036535,0.806688189601794,12.0740090730389,1.44899223148056e-33,3.47758135555334e-32,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"***"
"ASV19",567.066353421656,-1.54570927583127,0.628212515581695,-2.46048787232457,0.0138748261236529,0.0151361739530759,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA,"*"
"ASV27",909.758613611718,-3.26589594847928,0.397856605271241,-8.20872622248594,2.23547301013266e-16,5.96126136035376e-16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,"***"
"ASV40",38.2332349551162,-8.2843612229857,0.849630652721874,-9.75054418816688,1.83482041193539e-22,8.80713797728986e-22,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA,"***"
"ASV42",29.518567631605,-2.6679660383204,0.725117336589051,-3.67935767591836,0.000233822137112499,0.000295354278457894,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA,"***"
"ASV52",56.9133873384323,-1.56186933752475,0.38615374613382,-4.04468259899644,5.23940587969348e-05,7.39680830074374e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,"***"
"ASV63",33.1477154391894,-8.07717838982217,1.03672882848787,-7.79102323372565,6.6468689325564e-15,1.59524854381354e-14,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA,"***"
"ASV82",35.4779619755283,-8.17627531735086,0.780873319629234,-10.4706808541404,1.17792707557931e-25,9.42341660463449e-25,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA,NA,"***"
"ASV101",17.7090582787933,-4.23312287776706,0.795866665752186,-5.3188845065728,1.04405380616882e-07,1.67048608987011e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA,"***"
"ASV128",24.4634294477039,-7.63778238705201,1.22294312819902,-6.24541093607505,4.22687335356943e-10,7.8034584988974e-10,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA,"***"
"ASV138",12.1086946464619,-4.69330405797187,0.693861246176419,-6.76403832010321,1.34197564549484e-11,2.92794686289782e-11,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA,"***"
"ASV144",21.5784441080803,-7.45380886235146,0.837544636900439,-8.89959595459449,5.60503534185941e-19,2.24201413674377e-18,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,"***"
"ASV192",30.0188183945874,0.763308423346245,0.373112894208904,2.0457840916076,0.0407776178872129,0.0407776178872129,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA,"*"
"ASV244",16.9455601307377,-5.91781835885043,0.671225403857653,-8.81643979032925,1.18156693417197e-18,4.05108663144674e-18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,"***"
"ASV273",17.7281085649745,-2.52171135664594,0.802015747640539,-3.14421676140973,0.00166532035250371,0.00199838442300445,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA,NA,"**"
"ASV285",10.8175452375412,-6.4463983337545,0.736983808856334,-8.74700129946972,2.19097177906022e-18,6.57291533718066e-18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA,NA,"***"
"ASV326",3.87086949166401,-4.95853311712182,0.865609822666162,-5.7283697426735,1.01400368033716e-08,1.73829202343513e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae",NA,NA,"***"
"ASV443",12.2839454002216,2.99443353572011,0.800950956165476,3.73859786628617,0.000185049455041215,0.00024673260672162,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA,"***"
